run,node_id,num_nodes,num_txn_workers,num_txns,cc_scheme,use_switch,switch_no_conflict,ycsb_opti_test,lm_on_switch,csv_file_cycles,csv_file_periodic,workload,ycsb_table_size,ycsb_write_prob,ycsb_hot_size,ycsb_hot_prob,ycsb_remote_prob,tpcc_num_warehouses,tpcc_num_districts,tpcc_home_w_id,new_order_remote_prob,payment_remote_prob,smallbank_table_size,smallbank_hot_prob,smallbank_remote_prob,smallbank_hot_size,micro_recirc_prob,local_read_lock_failed,local_write_lock_failed,local_lock_success,local_lock_waiting,remote_lock_failed,remote_lock_success,remote_lock_waiting,switch_aborts,tpcc_no_warehouse_read,tpcc_no_district_write,tpcc_no_customer_read,tpcc_no_warehouse_f_get,tpcc_no_district_f_get,tpcc_no_customer_f_get,tpcc_no_stock_acquired,tpcc_no_commits,tpcc_pay_warehouse_write,tpcc_pay_district_write,tpcc_pay_customer_write,tpcc_pay_warehouse_f_get,tpcc_pay_district_f_get,tpcc_pay_customer_f_get,tpcc_pay_commits,micro_recirc_recircs,ycsb_read_commits,ycsb_write_commits,smallbank_amalgamate_commits,smallbank_balance_commits,smallbank_deposit_checking_commits,smallbank_send_payment_commits,smallbank_write_check_commits,smallbank_transact_saving_commits,total_tps,total_cps,total_commits,total_aborts,total_txns,total_on_switch,avg_duration,hot_commit_ratio
0,5,8,20,500000,no_wait,true,true,false,false,../cycles2_5.csv,../periodic2_5.csv,ycsb,10000000,50,50,75,20,0,0,0,0,0,0,0,0,0,0,85,181,15998517,0,103,3997611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,346796,346786,9999699,301,10000000,7500419,28835336,75.02944636896139
0,6,8,20,500000,no_wait,true,true,false,false,../cycles2_5.csv,../periodic2_5.csv,ycsb,10000000,50,50,75,20,0,0,0,0,0,0,0,0,0,0,114,215,16008742,0,84,4000126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,698110,698081,9999589,411,10000000,7498792,14324380,74.93188736817073
0,7,8,20,500000,no_wait,true,true,false,false,../cycles2_5.csv,../periodic2_5.csv,ycsb,10000000,50,50,75,20,0,0,0,0,0,0,0,0,0,0,111,206,16008350,0,73,4000071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,693901,693872,9999580,420,10000000,7498873,14411269,74.97671275124351
1,0,8,20,500000,no_wait,false,true,false,false,../cycles2_6.csv,../periodic2_6.csv,ycsb,10000000,0,50,75,20,0,0,0,0,0,0,0,0,0,0,0,0,63445586,0,0,16548329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,298949,298949,10000000,0,10000000,0,33450521,74.99766480715013
1,1,8,20,500000,no_wait,false,true,false,false,../cycles2_6.csv,../periodic2_6.csv,ycsb,10000000,0,50,75,20,0,0,0,0,0,0,0,0,0,0,0,0,63451401,0,0,16553331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,299056,299056,10000000,0,10000000,0,33438551,74.93836392438908
1,2,8,20,500000,no_wait,false,true,false,false,../cycles2_6.csv,../periodic2_6.csv,ycsb,10000000,0,50,75,20,0,0,0,0,0,0,0,0,0,0,0,0,63448414,0,0,16553827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297147,297147,10000000,0,10000000,0,33653325,74.97976566479878
1,3,8,20,500000,no_wait,false,true,false,false,../cycles2_6.csv,../periodic2_6.csv,ycsb,10000000,0,50,75,20,0,0,0,0,0,0,0,0,0,0,0,0,63446900,0,0,16548666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,296890,296890,10000000,0,10000000,0,33682421,74.9134623959572
1,4,8,20,500000,no_wait,false,true,false,false,../cycles2_6.csv,../periodic2_6.csv,ycsb,10000000,0,50,75,20,0,0,0,0,0,0,0,0,0,0,0,0,63447766,0,0,16554623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297046,297046,10000000,0,10000000,0,33664757,75.0496825044405
1,5,8,20,500000,no_wait,false,true,false,false,../cycles2_6.csv,../periodic2_6.csv,ycsb,10000000,0,50,75,20,0,0,0,0,0,0,0,0,0,0,0,0,63451186,0,0,16554734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293298,293298,10000000,0,10000000,0,34095006,75.11300305282268
1,6,8,20,500000,no_wait,false,true,false,false,../cycles2_6.csv,../periodic2_6.csv,ycsb,10000000,0,50,75,20,0,0,0,0,0,0,0,0,0,0,0,0,63450914,0,0,16553277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300487,300487,10000000,0,10000000,0,33279249,74.91617302511226
